model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M0,oas_mean,True,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252,covid,15706,170,109
M1_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy,covid,15706,170,109
M2_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret,covid,15706,170,109
M3_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | mkt_ret_x_leverage | mkt_ret_x_market_power,covid,13969,168,108
M4_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope,covid,15706,170,109
M5_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope | credit_level_x_rollover | credit_level_x_market_power,covid,13969,168,108
M6_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,covid,15706,170,109
M4_shock_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock | credit_curve_shock,covid,15706,170,109
M5_shock_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock | credit_curve_shock | credit_tightening_shock_x_rollover | credit_tightening_shock_x_market_power,covid,13969,168,108
M6_shock_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_tightening_shock | credit_curve_shock | mkt_ret_x_leverage | credit_tightening_shock_x_rollover,covid,15706,170,109
M4_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1,covid,15706,170,109
M5_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1 | credit_tightening_shock_l1_x_rollover | credit_tightening_shock_l1_x_market_power,covid,13969,168,108
M6_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_tightening_shock_l1 | credit_curve_shock_l1 | mkt_ret_x_leverage | credit_tightening_shock_l1_x_rollover,covid,15706,170,109
M4_level_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_market_level_log | credit_curve_level | credit_curve_change,covid,15706,170,109
M5_level_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_market_level_log | credit_curve_level | credit_curve_change | credit_market_level_log_x_rollover | credit_market_level_log_x_market_power,covid,13969,168,108
M6_level_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_market_level_log | credit_curve_level | credit_curve_change | mkt_ret_x_leverage | credit_market_level_log_x_rollover,covid,15706,170,109
