model,variable,estimated,absorbed_or_dropped,time_fe
M6_baseline,leverage,True,False,False
M6_baseline,log_assets,True,False,False
M6_baseline,cash_to_assets,True,False,False
M6_baseline,current_ratio,True,False,False
M6_baseline,interest_coverage,True,False,False
M6_baseline,residual_maturity_mean,True,False,False
M6_baseline,rollover_12m,True,False,False
M6_baseline,ivol_252,True,False,False
M6_baseline,policy_rate,True,False,False
M6_baseline,term_spread_10y_2y,True,False,False
M6_baseline,move_eom,True,False,False
M6_baseline,mkt_ret,True,False,False
M6_baseline,credit_level,True,False,False
M6_baseline,credit_slope,True,False,False
M6_baseline,mkt_ret_x_leverage,True,False,False
M6_baseline,credit_level_x_rollover,True,False,False
M6_time_fe,leverage,True,False,True
M6_time_fe,log_assets,True,False,True
M6_time_fe,cash_to_assets,True,False,True
M6_time_fe,current_ratio,True,False,True
M6_time_fe,interest_coverage,True,False,True
M6_time_fe,residual_maturity_mean,True,False,True
M6_time_fe,rollover_12m,True,False,True
M6_time_fe,ivol_252,True,False,True
M6_time_fe,policy_rate,False,True,True
M6_time_fe,term_spread_10y_2y,False,True,True
M6_time_fe,move_eom,False,True,True
M6_time_fe,mkt_ret,False,True,True
M6_time_fe,credit_level,False,True,True
M6_time_fe,credit_slope,False,True,True
M6_time_fe,mkt_ret_x_leverage,True,False,True
M6_time_fe,credit_level_x_rollover,True,False,True
