issuer,n_obs,first_date,last_date,dep_non_null,dep_null_pct
ABBOTT LABORATORIES,132,2015-01-31,2025-12-31,132.0,0.0
AFLAC INC,132,2015-01-31,2025-12-31,132.0,0.0
AIR PRODUCTS AND CHEMICALS INC,132,2015-01-31,2025-12-31,132.0,0.0
ALTRIA GROUP INC,132,2015-01-31,2025-12-31,132.0,0.0
AMERICAN EXPRESS CO,132,2015-01-31,2025-12-31,132.0,0.0
AMGEN INC,132,2015-01-31,2025-12-31,132.0,0.0
APPLE INC,132,2015-01-31,2025-12-31,132.0,0.0
ARCH CAPITAL GROUP LTD,132,2015-01-31,2025-12-31,132.0,0.0
AT&T INC,132,2015-01-31,2025-12-31,132.0,0.0
ATMOS ENERGY CORP,132,2015-01-31,2025-12-31,132.0,0.0
AVERY DENNISON CORP,132,2015-01-31,2025-12-31,132.0,0.0
BANK OF AMERICA CORP,132,2015-01-31,2025-12-31,132.0,0.0
BAXTER INTERNATIONAL INC,132,2015-01-31,2025-12-31,132.0,0.0
BECTON DICKINSON AND CO,132,2015-01-31,2025-12-31,132.0,0.0
BOEING CO,132,2015-01-31,2025-12-31,132.0,0.0
BRISTOL-MYERS SQUIBB CO,132,2015-01-31,2025-12-31,132.0,0.0
CAMPBELL'S CO,132,2015-01-31,2025-12-31,132.0,0.0
CATERPILLAR INC,132,2015-01-31,2025-12-31,132.0,0.0
CINCINNATI FINANCIAL CORP,132,2015-01-31,2025-12-31,132.0,0.0
CITIGROUP INC,132,2015-01-31,2025-12-31,132.0,0.0
CMS ENERGY CORP,132,2015-01-31,2025-12-31,132.0,0.0
COLGATE-PALMOLIVE CO,132,2015-01-31,2025-12-31,132.0,0.0
COMCAST CORP,132,2015-01-31,2025-12-31,132.0,0.0
CONAGRA BRANDS INC,132,2015-01-31,2025-12-31,132.0,0.0
CONOCOPHILLIPS,132,2015-01-31,2025-12-31,132.0,0.0
CORNING INC,132,2015-01-31,2025-12-31,132.0,0.0
CSX CORP,132,2015-01-31,2025-12-31,132.0,0.0
CUMMINS INC,132,2015-01-31,2025-12-31,132.0,0.0
CVS HEALTH CORP,132,2015-01-31,2025-12-31,132.0,0.0
DARDEN RESTAURANTS INC,132,2015-01-31,2025-12-31,132.0,0.0
DEERE & CO,132,2015-01-31,2025-12-31,132.0,0.0
DEVON ENERGY CORP,132,2015-01-31,2025-12-31,132.0,0.0
DOMINION ENERGY INC,132,2015-01-31,2025-12-31,132.0,0.0
DOVER CORP,132,2015-01-31,2025-12-31,132.0,0.0
DUKE ENERGY CORP,132,2015-01-31,2025-12-31,132.0,0.0
ELEVANCE HEALTH INC,132,2015-01-31,2025-12-31,132.0,0.0
ELI LILLY AND CO,132,2015-01-31,2025-12-31,132.0,0.0
EMERSON ELECTRIC CO,132,2015-01-31,2025-12-31,132.0,0.0
EQUIFAX INC,132,2015-01-31,2025-12-31,132.0,0.0
EXELON CORP,132,2015-01-31,2025-12-31,132.0,0.0
FEDEX CORP,132,2015-01-31,2025-12-31,132.0,0.0
FIFTH THIRD BANCORP,132,2015-01-31,2025-12-31,132.0,0.0
GENERAL ELECTRIC CO,132,2015-01-31,2025-12-31,132.0,0.0
GENERAL MILLS INC,132,2015-01-31,2025-12-31,132.0,0.0
GOLDMAN SACHS GROUP INC,132,2015-01-31,2025-12-31,132.0,0.0
HARTFORD INSURANCE GROUP INC,132,2015-01-31,2025-12-31,132.0,0.0
HASBRO INC,132,2015-01-31,2025-12-31,132.0,0.0
HOME DEPOT INC,132,2015-01-31,2025-12-31,132.0,0.0
HONEYWELL INTERNATIONAL INC,132,2015-01-31,2025-12-31,132.0,0.0
HOWMET AEROSPACE INC,132,2015-01-31,2025-12-31,132.0,0.0
HP INC,132,2015-01-31,2025-12-31,132.0,0.0
HUMANA INC,132,2015-01-31,2025-12-31,132.0,0.0
INTEL CORP,132,2015-01-31,2025-12-31,132.0,0.0
INTERNATIONAL BUSINESS MACHINES CORP,132,2015-01-31,2025-12-31,132.0,0.0
INTERNATIONAL PAPER CO,132,2015-01-31,2025-12-31,132.0,0.0
JOHNSON & JOHNSON,132,2015-01-31,2025-12-31,132.0,0.0
JPMORGAN CHASE & CO,132,2015-01-31,2025-12-31,132.0,0.0
KIMBERLY-CLARK CORP,132,2015-01-31,2025-12-31,132.0,0.0
KINDER MORGAN INC,132,2015-01-31,2025-12-31,132.0,0.0
KROGER CO,132,2015-01-31,2025-12-31,132.0,0.0
LOCKHEED MARTIN CORP,132,2015-01-31,2025-12-31,132.0,0.0
LOWE'S COMPANIES INC,132,2015-01-31,2025-12-31,132.0,0.0
MARSH & MCLENNAN COMPANIES INC,132,2015-01-31,2025-12-31,132.0,0.0
MARTIN MARIETTA MATERIALS INC,132,2015-01-31,2025-12-31,132.0,0.0
MASCO CORP,132,2015-01-31,2025-12-31,132.0,0.0
MCDONALD'S CORP,132,2015-01-31,2025-12-31,132.0,0.0
MCKESSON CORP,132,2015-01-31,2025-12-31,132.0,0.0
MERCK & CO INC,132,2015-01-31,2025-12-31,132.0,0.0
MICROSOFT CORP,132,2015-01-31,2025-12-31,132.0,0.0
MONDELEZ INTERNATIONAL INC,132,2015-01-31,2025-12-31,132.0,0.0
MOODY'S CORP,132,2015-01-31,2025-12-31,132.0,0.0
MORGAN STANLEY,132,2015-01-31,2025-12-31,132.0,0.0
MOTOROLA SOLUTIONS INC,132,2015-01-31,2025-12-31,132.0,0.0
NEWMONT CORPORATION,132,2015-01-31,2025-12-31,132.0,0.0
NISOURCE INC,132,2015-01-31,2025-12-31,132.0,0.0
NORFOLK SOUTHERN CORP,132,2015-01-31,2025-12-31,132.0,0.0
NUCOR CORP,132,2015-01-31,2025-12-31,132.0,0.0
OCCIDENTAL PETROLEUM CORP,132,2015-01-31,2025-12-31,132.0,0.0
ONEOK INC,132,2015-01-31,2025-12-31,132.0,0.0
ORACLE CORP,132,2015-01-31,2025-12-31,132.0,0.0
PEPSICO INC,132,2015-01-31,2025-12-31,132.0,0.0
PFIZER INC,132,2015-01-31,2025-12-31,132.0,0.0
PHILIP MORRIS INTERNATIONAL INC,132,2015-01-31,2025-12-31,132.0,0.0
PRINCIPAL FINANCIAL GROUP INC,132,2015-01-31,2025-12-31,132.0,0.0
PROCTER & GAMBLE CO,132,2015-01-31,2025-12-31,132.0,0.0
PROGRESSIVE CORP,132,2015-01-31,2025-12-31,132.0,0.0
