date,n_obs,n_firms,dep_non_null,dep_null_pct
2015-01-31,127,127,127.0,0.0
2015-02-28,127,127,127.0,0.0
2015-03-31,127,127,127.0,0.0
2015-04-30,127,127,127.0,0.0
2015-05-31,129,129,129.0,0.0
2015-06-30,130,130,130.0,0.0
2015-07-31,130,130,130.0,0.0
2015-08-31,130,130,130.0,0.0
2015-09-30,132,132,132.0,0.0
2015-10-31,133,133,133.0,0.0
2015-11-30,134,134,134.0,0.0
2015-12-31,136,136,136.0,0.0
2016-01-31,136,136,136.0,0.0
2016-02-29,136,136,136.0,0.0
2016-03-31,134,134,134.0,0.0
2016-04-30,132,132,132.0,0.0
2016-05-31,123,123,123.0,0.0
2016-06-30,122,122,122.0,0.0
2016-07-31,137,137,137.0,0.0
2016-08-31,142,142,142.0,0.0
2016-09-30,147,147,147.0,0.0
2016-10-31,152,152,152.0,0.0
2016-11-30,160,160,160.0,0.0
2016-12-31,165,165,165.0,0.0
2017-01-31,166,166,166.0,0.0
2017-02-28,168,168,168.0,0.0
2017-03-31,170,170,170.0,0.0
2017-04-30,170,170,170.0,0.0
2017-05-31,174,174,174.0,0.0
2017-06-30,177,177,177.0,0.0
2017-07-31,178,178,178.0,0.0
2017-08-31,183,183,183.0,0.0
2017-09-30,183,183,183.0,0.0
2017-10-31,184,184,184.0,0.0
2017-11-30,186,186,186.0,0.0
2017-12-31,188,188,188.0,0.0
2018-01-31,190,190,190.0,0.0
2018-02-28,191,191,191.0,0.0
2018-03-31,193,193,193.0,0.0
2018-04-30,196,196,196.0,0.0
2018-05-31,197,197,197.0,0.0
2018-06-30,199,199,199.0,0.0
2018-07-31,199,199,199.0,0.0
2018-08-31,200,200,200.0,0.0
2018-09-30,203,203,203.0,0.0
2018-10-31,205,205,205.0,0.0
2018-11-30,206,206,206.0,0.0
2018-12-31,206,206,206.0,0.0
2019-01-31,208,208,208.0,0.0
2019-02-28,209,209,209.0,0.0
2019-03-31,211,211,211.0,0.0
2019-04-30,213,213,213.0,0.0
2019-05-31,214,214,214.0,0.0
2019-06-30,214,214,214.0,0.0
2019-07-31,216,216,216.0,0.0
2019-08-31,216,216,216.0,0.0
2019-09-30,219,219,219.0,0.0
2019-10-31,219,219,219.0,0.0
2019-11-30,221,221,221.0,0.0
2019-12-31,221,221,221.0,0.0
2020-01-31,223,223,223.0,0.0
2020-02-29,223,223,223.0,0.0
2020-03-31,224,224,224.0,0.0
2020-04-30,227,227,227.0,0.0
2020-05-31,228,228,228.0,0.0
2020-06-30,232,232,232.0,0.0
2020-07-31,234,234,234.0,0.0
2020-08-31,237,237,237.0,0.0
2020-09-30,238,238,238.0,0.0
2020-10-31,239,239,239.0,0.0
2020-11-30,240,240,240.0,0.0
2020-12-31,240,240,240.0,0.0
2021-01-31,241,241,241.0,0.0
2021-02-28,243,243,243.0,0.0
2021-03-31,244,244,244.0,0.0
2021-04-30,246,246,246.0,0.0
2021-05-31,248,248,248.0,0.0
2021-06-30,248,248,248.0,0.0
2021-07-31,249,249,249.0,0.0
2021-08-31,250,250,250.0,0.0
2021-09-30,250,250,250.0,0.0
2021-10-31,252,252,252.0,0.0
2021-11-30,253,253,253.0,0.0
2021-12-31,253,253,253.0,0.0
2022-01-31,253,253,253.0,0.0
2022-02-28,254,254,254.0,0.0
2022-03-31,256,256,256.0,0.0
2022-04-30,257,257,257.0,0.0
2022-05-31,257,257,257.0,0.0
2022-06-30,257,257,257.0,0.0
2022-07-31,257,257,257.0,0.0
2022-08-31,258,258,258.0,0.0
2022-09-30,258,258,258.0,0.0
2022-10-31,258,258,258.0,0.0
2022-11-30,259,259,259.0,0.0
2022-12-31,260,260,260.0,0.0
2023-01-31,260,260,260.0,0.0
2023-02-28,260,260,260.0,0.0
2023-03-31,260,260,260.0,0.0
2023-04-30,260,260,260.0,0.0
2023-05-31,260,260,260.0,0.0
2023-06-30,260,260,260.0,0.0
2023-07-31,260,260,260.0,0.0
2023-08-31,260,260,260.0,0.0
2023-09-30,260,260,260.0,0.0
2023-10-31,260,260,260.0,0.0
2023-11-30,262,262,262.0,0.0
2023-12-31,262,262,262.0,0.0
2024-01-31,262,262,262.0,0.0
2024-02-29,262,262,262.0,0.0
2024-03-31,263,263,263.0,0.0
2024-04-30,263,263,263.0,0.0
2024-05-31,263,263,263.0,0.0
2024-06-30,264,264,264.0,0.0
2024-07-31,264,264,264.0,0.0
2024-08-31,264,264,264.0,0.0
2024-09-30,265,265,265.0,0.0
2024-10-31,265,265,265.0,0.0
2024-11-30,265,265,265.0,0.0
2024-12-31,264,264,264.0,0.0
2025-01-31,266,266,266.0,0.0
2025-02-28,267,267,267.0,0.0
2025-03-31,268,268,268.0,0.0
2025-04-30,268,268,268.0,0.0
2025-05-31,269,269,269.0,0.0
2025-06-30,269,269,269.0,0.0
2025-07-31,269,269,269.0,0.0
2025-08-31,270,270,270.0,0.0
2025-09-30,270,270,270.0,0.0
2025-10-31,270,270,270.0,0.0
2025-11-30,270,270,270.0,0.0
2025-12-31,270,270,270.0,0.0
