variable,M0,M1,M2,M3,M4,M5,M6
leverage,28.9627,26.0870,25.1790,31.1436,26.2357,30.7091,26.7157
,(17.8858),(18.6231),(18.6015),(19.8810),(18.6912),(20.2477),(18.4267)
log_assets,12.8128***,-0.7479,0.5919,-3.6973,-0.6595,-5.3183,0.5791
,(1.8217),(3.8438),(3.9197),(3.7130),(3.8148),(3.5288),(3.8859)
cash_to_assets,-45.6208**,-95.4041***,-92.1592***,-104.7082***,-95.5430***,-109.1660***,-91.9819***
,(17.7108),(28.7873),(27.3954),(29.4936),(28.7517),(31.0231),(27.2680)
current_ratio,5.5358***,7.4013***,7.0952***,7.6351***,7.3922***,8.0725***,7.0605***
,(1.9300),(2.1430),(2.0968),(2.3588),(2.1476),(2.4341),(2.0884)
interest_coverage,0.0094,0.0268,0.0255,0.0160,0.0263,0.0166,0.0254
,(0.0128),(0.0228),(0.0227),(0.0243),(0.0229),(0.0241),(0.0226)
residual_maturity_mean,4.0197***,6.7357***,6.5649***,7.7124***,6.7153***,7.9517***,6.5618***
,(0.2386),(0.9715),(0.9736),(0.9584),(0.9681),(0.9411),(0.9707)
rollover_12m,-2.8415,24.7899**,21.3093**,22.6389**,24.9076**,26.5009**,21.4095**
,(9.0897),(10.8872),(10.3387),(10.8073),(10.8881),(11.2747),(10.3441)
ivol_252,233.6086***,249.5700***,257.2051***,258.3427***,248.8266***,249.0923***,257.1168***
,(27.3535),(55.8988),(56.7068),(60.2333),(56.1878),(59.4655),(57.0151)
policy_rate,,-9.1903***,-8.7331**,-10.6830***,-9.2156***,-11.2637***,-8.7443**
,,(3.5576),(3.5016),(3.7013),(3.5328),(3.7547),(3.4830)
term_spread_10y_2y,,-35.3946***,-37.0054***,-44.1667***,-35.3107***,-42.8130***,-37.0164***
,,(10.0991),(10.3601),(10.5408),(10.1171),(10.4336),(10.4197)
move_eom,,0.0445,-0.0482,0.0094,0.0435,0.1071,-0.0478
,,(0.1263),(0.1360),(0.1305),(0.1268),(0.1182),(0.1360)
mkt_ret,,,-111.1472**,-77.6094,,,-65.2583
,,,(53.4878),(70.1251),,,(70.0538)
mkt_ret_x_leverage,,,,-128.6052*,,,-132.5579**
,,,,(66.9822),,,(66.1192)
mkt_ret_x_market_power,,,,194.2265,,,
,,,,(124.1727),,,
credit_level,,,,,-6.4362,-8.2355,0.3653
,,,,,(12.4227),(10.5673),(12.5072)
credit_slope,,,,,-1.1047,0.8076,-0.9646
,,,,,(1.6859),(5.5820),(1.5591)
credit_level_x_rollover,,,,,,5.4466,10.2145
,,,,,,(25.7915),(22.0503)
credit_level_x_market_power,,,,,,15.7819,
,,,,,,(49.6192),
Observaciones,15706,15706,15706,13969,15706,13969,15706
Firmas,170,170,170,168,170,168,170
Periodos,109,109,109,108,109,108,109
