variable,M0,M1,M2,M3,M4,M5,M6,M4_shock,M5_shock,M6_shock,M4_lag,M5_lag,M6_lag,M4_level,M5_level,M6_level
leverage,28.9627,26.0870,25.1790,31.1436,26.2357,30.7091,26.7157,26.2357,30.7091,26.7157,25.8020,30.2294,26.5200,25.3057,32.6471*,27.1069
,(19.2441),(18.6841),(18.5832),(19.9693),(18.6843),(20.0783),(18.6280),(18.6843),(20.0783),(18.6280),(18.6708),(20.0651),(18.6214),(18.5539),(19.8047),(18.4629)
log_assets,12.8128**,-0.7479,0.5919,-3.6973,-0.6595,-5.3183,0.5791,-0.6595,-5.3183,0.5791,-0.7159,-5.2796,0.5854,-0.1655,-3.9148,1.2188
,(6.0981),(6.4620),(6.3255),(6.8500),(6.4568),(7.0152),(6.3272),(6.4568),(7.0152),(6.3272),(6.4566),(7.0119),(6.3260),(6.3802),(6.7610),(6.2490)
cash_to_assets,-45.6208,-95.4041***,-92.1592***,-104.7082***,-95.5430***,-109.1660***,-91.9819***,-95.5430***,-109.1660***,-91.9819***,-94.7468***,-108.3866***,-91.5012***,-94.9708***,-108.6349***,-93.8063***
,(30.3505),(34.3033),(33.9639),(34.6728),(34.3305),(34.9405),(33.9717),(34.3305),(34.9405),(33.9717),(34.2036),(34.7633),(33.8889),(33.9550),(34.4437),(33.6955)
current_ratio,5.5358,7.4013*,7.0952*,7.6351*,7.3922*,8.0725*,7.0605*,7.3922*,8.0725*,7.0605*,7.3718*,8.0255*,7.0490*,7.3134*,8.0127*,7.2205*
,(3.6627),(4.0947),(4.0691),(4.3115),(4.0982),(4.3451),(4.0704),(4.0982),(4.3451),(4.0704),(4.0836),(4.3322),(4.0612),(4.1139),(4.3497),(4.1035)
interest_coverage,0.0094,0.0268,0.0255,0.0160,0.0263,0.0166,0.0254,0.0263,0.0166,0.0254,0.0277,0.0175,0.0263,0.0266,0.0105,0.0263
,(0.0228),(0.0284),(0.0282),(0.0300),(0.0284),(0.0305),(0.0282),(0.0284),(0.0305),(0.0282),(0.0283),(0.0303),(0.0282),(0.0280),(0.0300),(0.0277)
