variable,M0,M1_covid,M2_covid,M3_covid,M4_covid,M5_covid,M6_covid,M4_shock_covid,M5_shock_covid,M6_shock_covid,M4_lag_covid,M5_lag_covid,M6_lag_covid,M4_level_covid,M5_level_covid,M6_level_covid
leverage,28.9627,23.3200,23.1824,30.9443,23.4627,29.6570,24.7357,23.4627,29.6570,24.7357,23.1214,29.2664,24.5588,24.1370,34.1135*,26.6863
,(19.2441),(18.4910),(18.4638),(19.8631),(18.4907),(19.8858),(18.5123),(18.4907),(19.8858),(18.5123),(18.4854),(19.8816),(18.5077),(18.4878),(19.8071),(18.4335)
log_assets,12.8128**,1.4592,2.1321,-3.5218,1.6148,-4.3401,2.1512,1.6148,-4.3401,2.1512,1.4440,-4.3971,2.0929,0.6755,-4.9396,1.4979
,(6.0981),(6.2529),(6.1976),(6.9798),(6.2422),(7.0548),(6.1969),(6.2422),(7.0548),(6.1969),(6.2537),(7.0606),(6.2017),(6.3542),(7.0530),(6.2831)
cash_to_assets,-45.6208,-94.6329***,-91.8567***,-104.6222***,-94.7882***,-108.6056***,-91.7348***,-94.7882***,-108.6056***,-91.7348***,-94.0565***,-107.8884***,-91.2454***,-94.6692***,-109.2328***,-93.7382***
,(30.3505),(33.8067),(33.6389),(34.7501),(33.8305),(34.9551),(33.6514),(33.8305),(34.9551),(33.6514),(33.7253),(34.7885),(33.5775),(33.8124),(34.5814),(33.6706)
current_ratio,5.5358,7.3143*,7.0560*,7.6223*,7.3015*,7.9932*,7.0215*,7.3015*,7.9932*,7.0215*,7.2880*,7.9551*,7.0115*,7.3053*,8.0660*,7.2216*
,(3.6627),(4.0793),(4.0629),(4.3186),(4.0838),(4.3520),(4.0656),(4.0838),(4.3520),(4.0656),(4.0696),(4.3389),(4.0561),(4.1030),(4.3545),(4.1007)
interest_coverage,0.0094,0.0229,0.0227,0.0158,0.0222,0.0157,0.0224,0.0222,0.0157,0.0224,0.0238,0.0167,0.0235,0.0245,0.0118,0.0255
,(0.0228),(0.0283),(0.0282),(0.0300),(0.0283),(0.0304),(0.0281),(0.0283),(0.0304),(0.0281),(0.0282),(0.0303),(0.0281),(0.0280),(0.0299),(0.0277)
residual_maturity_mean,4.0197***,6.4299***,6.3503***,7.6841***,6.3982***,7.7944***,6.3405***,6.3982***,7.7944***,6.3405***,6.4482***,7.8164***,6.3663***,6.6383***,7.5803***,6.4820***
,(1.0135),(0.8723),(0.8707),(0.9897),(0.8746),(0.9939),(0.8738),(0.8746),(0.9939),(0.8738),(0.8736),(0.9915),(0.8731),(0.9172),(0.9973),(0.9187)
rollover_12m,-2.8415,20.1910,18.1584,22.3353,20.2499,24.8073,18.2873,20.2499,24.8073,18.2873,19.8117,24.2067,18.0149,21.2996,371.8030*,318.6771
,(13.7385),(14.6766),(14.6539),(15.4121),(14.6811),(15.4680),(14.6731),(14.6811),(15.4680),(14.6731),(14.6728),(15.4716),(14.6709),(14.6684),(217.8946),(236.1791)
ivol_252,233.6086***,272.8487***,274.0020***,259.9670***,272.3191***,257.8170***,273.7595***,272.3191***,257.8170***,273.7595***,273.5108***,259.3349***,274.3102***,268.6606***,256.3012***,270.2226***
,(35.8289),(30.4177),(30.3845),(33.2944),(30.4075),(33.4165),(30.3441),(30.4075),(33.4165),(30.3441),(30.4621),(33.4399),(30.3772),(31.0005),(33.6664),(30.9522)
policy_rate,,-10.7120***,-9.9123***,-10.7516***,-10.7716***,-11.6104***,-9.9414***,-10.7716***,-11.6104***,-9.9414***,-10.6904***,-11.5592***,-9.9115***,-8.2573***,-8.6730***,-7.0942***
,,(0.9392),(0.9234),(0.8701),(0.9447),(0.8996),(0.9314),(0.9447),(0.8996),(0.9314),(0.9380),(0.8963),(0.9221),(0.8410),(0.8156),(0.8242)
