variable,M4_level,M5_level,M6_level
cash_to_assets,-94.9708***,-108.6349***,-93.8063***
,(33.9550),(34.4437),(33.6955)
credit_curve_change,-2.8211***,9.3063***,-2.3804**
,(1.0476),(2.1089),(1.0540)
credit_curve_level,8.3856***,-19.9683***,7.0776***
,(2.0255),(4.2644),(2.0519)
credit_market_level_log,-29.5438***,-5.1410,-22.4233***
,(3.3302),(4.8148),(5.3585)
credit_market_level_log_x_market_power,,11.0058***,
,,(2.2352),
credit_market_level_log_x_rollover,,-70.2314,-61.9287
,,(44.2460),(48.0475)
current_ratio,7.3134*,8.0127*,7.2205*
,(4.1139),(4.3497),(4.1035)
interest_coverage,0.0266,0.0105,0.0263
,(0.0280),(0.0300),(0.0277)
ivol_252,259.7303***,266.0779***,267.1216***
,(30.0392),(31.3482),(29.9059)
leverage,25.3057,32.6471*,27.1069
,(18.5539),(19.8047),(18.4629)
log_assets,-0.1655,-3.9148,1.2188
,(6.3802),(6.7610),(6.2490)
mkt_ret,,,-59.9718***
,,,(14.9867)
mkt_ret_x_leverage,,,-130.7054***
,,,(39.1082)
move_eom,0.0558,0.0905**,-0.0309
,(0.0396),(0.0440),(0.0423)
policy_rate,-7.0250***,-9.5994***,-6.6398***
,(0.7799),(0.7422),(0.7868)
residual_maturity_mean,6.7632***,7.4345***,6.5233***
,(0.9131),(0.9678),(0.9131)
rollover_12m,23.0409,365.5230*,321.5075
,(14.7456),(217.7196),(236.2735)
term_spread_10y_2y,-34.7930***,-42.0796***,-36.1003***
,(2.2138),(2.1670),(2.2495)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
