variable,M6_baseline,M6_time_fe
cash_to_assets,-91.9819***,-45.4020
,(33.9717),(30.3467)
credit_level,0.3653,
,(2.2381),
credit_level_x_rollover,10.2145,8.5654
,(15.8878),(14.8558)
credit_slope,-0.9646***,
,(0.0793),
current_ratio,7.0605*,5.5043
,(4.0704),(3.6631)
interest_coverage,0.0254,0.0094
,(0.0282),(0.0228)
ivol_252,257.1168***,233.3574***
,(29.8866),(35.7674)
leverage,26.7157,30.4698
,(18.6280),(19.2994)
log_assets,0.5791,12.7978**
,(6.3272),(6.0988)
mkt_ret,-65.2583***,
,(15.0833),
mkt_ret_x_leverage,-132.5579***,-126.9032***
,(39.0130),(41.2761)
move_eom,-0.0478,
,(0.0389),
policy_rate,-8.7443***,
,(0.8485),
residual_maturity_mean,6.5618***,4.0181***
,(0.8782),(1.0147)
rollover_12m,21.4095,-2.7651
,(14.7942),(13.7601)
term_spread_10y_2y,-37.0164***,
,(2.5051),
Observaciones,15706,15706
Firmas,170,170
Periodos,109,109
