variable,M6_pre,M6_covid,M6_post
cash_to_assets,40.8337,-187.2128***,-44.6314
,(37.0286),(65.8279),(53.1359)
credit_level,-369.2743***,202.8937***,-9.5853***
,(66.9603),(47.0596),(1.8678)
credit_level_x_rollover,143.6322,-386.5860*,9.0467
,(298.4347),(215.7605),(14.6673)
credit_slope,-103.5877***,-212.1117***,-1.1288***
,(36.4402),(34.4099),(0.0787)
current_ratio,-3.5907,15.1917,4.8469
,(4.1873),(9.2881),(4.9751)
interest_coverage,-0.0493**,0.1407***,-0.0149
,(0.0195),(0.0408),(0.0222)
ivol_252,321.4664***,207.3053***,212.8460***
,(46.5211),(34.7791),(40.3516)
leverage,-23.7935,-71.9070**,24.9978
,(31.2141),(34.3849),(28.3451)
log_assets,5.4162,6.8327,5.0219
,(7.7362),(15.0284),(7.8043)
mkt_ret,-20.6103,-111.9477***,72.5005***
,(16.8316),(26.1732),(21.9575)
mkt_ret_x_leverage,-47.4217,-48.3564,-170.2953***
,(44.4023),(71.8814),(65.5604)
move_eom,0.4243***,0.5799***,0.5814***
,(0.0554),(0.0562),(0.0263)
policy_rate,10.1669***,-55.2367***,-7.7763***
,(1.9706),(3.9101),(0.9149)
residual_maturity_mean,1.8468**,15.1450***,2.2631**
,(0.8772),(2.4744),(0.9815)
rollover_12m,-15.9380,44.7498,-11.5225
,(22.0679),(33.4875),(14.3996)
term_spread_10y_2y,33.6024***,-88.5473***,-14.1694***
,(3.4623),(4.2377),(2.9643)
Observaciones,4111,3690,7905
Firmas,141,162,170
Periodos,37,24,48
