variable,M0,M1,M2,M3,M4,M5,M6
cash_to_assets,-45.6208,-95.4041***,-92.1592***,-104.7082***,-95.5430***,-109.1660***,-91.9819***
,(30.3505),(34.3033),(33.9639),(34.6728),(34.3305),(34.9405),(33.9717)
credit_level,,,,,-6.4362***,-8.2355***,0.3653
,,,,,(1.4896),(2.2107),(2.2381)
credit_level_x_market_power,,,,,,15.7819,
,,,,,,(15.3523),
credit_level_x_rollover,,,,,,5.4466,10.2145
,,,,,,(15.8640),(15.8878)
credit_slope,,,,,-1.1047***,0.8076,-0.9646***
,,,,,(0.0795),(0.6218),(0.0793)
current_ratio,5.5358,7.4013*,7.0952*,7.6351*,7.3922*,8.0725*,7.0605*
,(3.6627),(4.0947),(4.0691),(4.3115),(4.0982),(4.3451),(4.0704)
interest_coverage,0.0094,0.0268,0.0255,0.0160,0.0263,0.0166,0.0254
,(0.0228),(0.0284),(0.0282),(0.0300),(0.0284),(0.0305),(0.0282)
ivol_252,233.6086***,249.5700***,257.2051***,258.3427***,248.8266***,249.0923***,257.1168***
,(35.8289),(30.0633),(29.8882),(31.6236),(30.0797),(31.9750),(29.8866)
leverage,28.9627,26.0870,25.1790,31.1436,26.2357,30.7091,26.7157
,(19.2441),(18.6841),(18.5832),(19.9693),(18.6843),(20.0783),(18.6280)
log_assets,12.8128**,-0.7479,0.5919,-3.6973,-0.6595,-5.3183,0.5791
,(6.0981),(6.4620),(6.3255),(6.8500),(6.4568),(7.0152),(6.3272)
mkt_ret,,,-111.1472***,-77.6094***,,,-65.2583***
,,,(5.5951),(17.1199),,,(15.0833)
mkt_ret_x_leverage,,,,-128.6052***,,,-132.5579***
,,,,(40.0348),,,(39.0130)
mkt_ret_x_market_power,,,,194.2265***,,,
,,,,(73.6577),,,
move_eom,,0.0445,-0.0482,0.0094,0.0435,0.1071**,-0.0478
,,(0.0367),(0.0390),(0.0469),(0.0368),(0.0437),(0.0389)
policy_rate,,-9.1903***,-8.7331***,-10.6830***,-9.2156***,-11.2637***,-8.7443***
,,(0.8546),(0.8447),(0.7720),(0.8571),(0.7933),(0.8485)
residual_maturity_mean,4.0197***,6.7357***,6.5649***,7.7124***,6.7153***,7.9517***,6.5618***
,(1.0135),(0.8805),(0.8758),(0.9478),(0.8825),(0.9498),(0.8782)
rollover_12m,-2.8415,24.7899*,21.3093,22.6389,24.9076*,26.5009*,21.4095
,(13.7385),(14.8517),(14.7715),(15.4861),(14.8578),(15.6083),(14.7942)
term_spread_10y_2y,,-35.3946***,-37.0054***,-44.1667***,-35.3107***,-42.8130***,-37.0164***
,,(2.4770),(2.5129),(2.4361),(2.4680),(2.4116),(2.5051)
Observaciones,15706,15706,15706,13969,15706,13969,15706
Firmas,170,170,170,168,170,168,170
Periodos,109,109,109,108,109,108,109
