variable,M0,M1_covid,M2_covid,M3_covid,M4_covid,M5_covid,M6_covid
cash_to_assets,-45.6208,-94.6329***,-91.8567***,-104.6222***,-94.7882***,-108.6056***,-91.7348***
,(30.3505),(33.8067),(33.6389),(34.7501),(33.8305),(34.9551),(33.6514)
covid_dummy,,-11.9511***,-8.9562***,-0.7350,-12.1739***,-3.8647,-9.0241***
,,(2.4970),(2.4684),(3.3208),(2.5058),(3.4013),(2.4848)
credit_level,,,,,-8.4708***,-8.7753***,-1.9316
,,,,,(1.5746),(2.3131),(2.3401)
credit_level_x_market_power,,,,,,15.0914,
,,,,,,(15.3092),
credit_level_x_rollover,,,,,,5.8679,11.1571
,,,,,,(15.8800),(16.0681)
credit_slope,,,,,-1.2319***,0.7945,-1.0721***
,,,,,(0.0841),(0.6138),(0.0840)
current_ratio,5.5358,7.3143*,7.0560*,7.6223*,7.3015*,7.9932*,7.0215*
,(3.6627),(4.0793),(4.0629),(4.3186),(4.0838),(4.3520),(4.0656)
interest_coverage,0.0094,0.0229,0.0227,0.0158,0.0222,0.0157,0.0224
,(0.0228),(0.0283),(0.0282),(0.0300),(0.0283),(0.0304),(0.0281)
ivol_252,233.6086***,272.8487***,274.0020***,259.9670***,272.3191***,257.8170***,273.7595***
,(35.8289),(30.4177),(30.3845),(33.2944),(30.4075),(33.4165),(30.3441)
leverage,28.9627,23.3200,23.1824,30.9443,23.4627,29.6570,24.7357
,(19.2441),(18.4910),(18.4638),(19.8631),(18.4907),(19.8858),(18.5123)
log_assets,12.8128**,1.4592,2.1321,-3.5218,1.6148,-4.3401,2.1512
,(6.0981),(6.2529),(6.1976),(6.9798),(6.2422),(7.0548),(6.1969)
mkt_ret,,,-101.7104***,-76.9620***,,,-55.7491***
,,,(4.6643),(16.7580),,,(14.8675)
mkt_ret_x_leverage,,,,-128.4756***,,,-130.6268***
,,,,(39.9869),,,(38.5942)
mkt_ret_x_market_power,,,,192.8928***,,,
,,,,(73.7023),,,
move_eom,,0.0244,-0.0554,0.0078,0.0227,0.0958**,-0.0549
,,(0.0369),(0.0388),(0.0502),(0.0370),(0.0480),(0.0388)
policy_rate,,-10.7120***,-9.9123***,-10.7516***,-10.7716***,-11.6104***,-9.9414***
,,(0.9392),(0.9234),(0.8701),(0.9447),(0.8996),(0.9314)
residual_maturity_mean,4.0197***,6.4299***,6.3503***,7.6841***,6.3982***,7.7944***,6.3405***
,(1.0135),(0.8723),(0.8707),(0.9897),(0.8746),(0.9939),(0.8738)
rollover_12m,-2.8415,20.1910,18.1584,22.3353,20.2499,24.8073,18.2873
,(13.7385),(14.6766),(14.6539),(15.4121),(14.6811),(15.4680),(14.6731)
term_spread_10y_2y,,-34.4171***,-36.1361***,-44.0156***,-34.2910***,-42.0501***,-36.1049***
,,(2.4058),(2.4502),(2.3989),(2.3942),(2.3511),(2.4390)
Observaciones,15706,15706,15706,13969,15706,13969,15706
Firmas,170,170,170,168,170,168,170
Periodos,109,109,109,108,109,108,109
