variable,M4_shock,M5_shock,M6_shock
cash_to_assets,-95.5430***,-109.1660***,-91.9819***
,(34.3305),(34.9405),(33.9717)
credit_curve_shock,-1.1047***,0.8076,-0.9646***
,(0.0795),(0.6218),(0.0793)
credit_tightening_shock,-6.4362***,-8.2355***,0.3653
,(1.4896),(2.2107),(2.2381)
credit_tightening_shock_x_market_power,,15.7819,
,,(15.3523),
credit_tightening_shock_x_rollover,,5.4466,10.2145
,,(15.8640),(15.8878)
current_ratio,7.3922*,8.0725*,7.0605*
,(4.0982),(4.3451),(4.0704)
interest_coverage,0.0263,0.0166,0.0254
,(0.0284),(0.0305),(0.0282)
ivol_252,248.8266***,249.0923***,257.1168***
,(30.0797),(31.9750),(29.8866)
leverage,26.2357,30.7091,26.7157
,(18.6843),(20.0783),(18.6280)
log_assets,-0.6595,-5.3183,0.5791
,(6.4568),(7.0152),(6.3272)
mkt_ret,,,-65.2583***
,,,(15.0833)
mkt_ret_x_leverage,,,-132.5579***
,,,(39.0130)
move_eom,0.0435,0.1071**,-0.0478
,(0.0368),(0.0437),(0.0389)
policy_rate,-9.2156***,-11.2637***,-8.7443***
,(0.8571),(0.7933),(0.8485)
residual_maturity_mean,6.7153***,7.9517***,6.5618***
,(0.8825),(0.9498),(0.8782)
rollover_12m,24.9076*,26.5009*,21.4095
,(14.8578),(15.6083),(14.7942)
term_spread_10y_2y,-35.3107***,-42.8130***,-37.0164***
,(2.4680),(2.4116),(2.5051)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
