variable,vif,severity
mkt_ret,7.383940335702289,Moderado
mkt_ret_x_leverage,7.278428783751819,Moderado
term_spread_10y_2y,2.753922252055549,Bajo
policy_rate,2.5550489319916276,Bajo
move_eom,2.32643451978959,Bajo
credit_level,1.900458168789755,Bajo
credit_level_x_rollover,1.8654942401498844,Bajo
current_ratio,1.5724478303800304,Bajo
cash_to_assets,1.4547530124928554,Bajo
leverage,1.2003431788493029,Bajo
residual_maturity_mean,1.1983492041252417,Bajo
interest_coverage,1.1779809102544587,Bajo
log_assets,1.1075461421344002,Bajo
rollover_12m,1.0732849818452435,Bajo
ivol_252,1.0637935596276888,Bajo
credit_slope,1.0032697755095223,Bajo
